PitchNo,Date,Time,Umpire,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,PLH,PLS,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,SpinEff,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/16/22,04:05.3,"Chukerman, Michael",1,1,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.05489,-1.816487,-0.360829,2256.906413,209.699913,1:00,6.38956,1.53058,6.52292,-13.74757,21.81958,11.72804,3.57673,2.17686,42.92076,26.12232,79.60184,-4.522454,1.769177,0.429236,,,,,,,,,,,,,-6.20339,12.33174,-1.50978,50,6.25662,0.33928,-127.84526,-4.33136,-10.13747,29.45724,-12.02174,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,5e9a6530-bdc0-11ec-890b-cb1ab834da13,87.81291,,,8.45305,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,04:05.3,2022-04-16T13:04:05.3096830-07:00,2022-04-16T20:04:05.3096830Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,e8a79887-3f38-4ebf-aead-fe9362cbf573,53.97403,-128.75768,14.72862,6.38501,-3.959,-6.01087,-1.52516,0.65328,-5.06874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/16/22,04:19.0,"Chukerman, Michael",1,2,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.27497,-3.12437,-1.323146,2204.91634,216.818769,1:15,6.33419,1.6727,6.49491,-16.18788,20.31785,14.18741,2.11348,1.64014,25.36176,19.68168,78.63564,-6.274239,1.252716,0.434862,,,,,,,,,,,,,-7.78693,12.02217,-1.58528,50,6.10755,2.3577,-126.49638,-7.26969,-12.39559,30.03007,-13.03656,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,66d8af90-bdc0-11ec-890b-cb1ab834da13,86.67672,,,8.63933,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,04:19.1,2022-04-16T13:04:19.0551422-07:00,2022-04-16T20:04:19.0551422Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,3090d0c5-b462-4ed9-817b-ea1847c7e464,54.00147,-127.44278,15.01504,6.33018,-6.85884,-6.51828,-1.66574,2.74834,-6.1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/16/22,04:32.9,"Chukerman, Michael",1,3,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.21339,-1.91476,-2.072103,1565.088624,239.138408,2:00,6.20883,1.66427,6.4823,-38.09498,10.78174,15.14591,1.2743,1.02299,15.2916,12.27588,68.56804,-9.053444,0.680649,0.503179,,,,,,,,,,,,,-8.58237,6.76752,-1.52477,50,6.0576,3.44859,-109.15092,-4.63249,-10.21919,21.54398,-24.11584,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,6f11c9d0-bdc0-11ec-890b-cb1ab834da13,74.90863,,,6.64534,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,04:32.9,2022-04-16T13:04:32.9138046-07:00,2022-04-16T20:04:32.9138046Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,71c2f1b8-67f9-4af5-bebc-8a27379e9c4b,54.0166,-109.94085,10.77199,6.21124,-3.74826,-12.05792,-1.65808,3.82329,-5.10959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/16/22,04:50.8,"Chukerman, Michael",1,4,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.7083,-1.92035,-1.449249,1623.206229,231.198974,1:45,6.28789,1.45964,6.50822,-40.68864,9.98229,10.24882,1.13356,0.98338,13.60272,11.80056,67.49729,-9.522451,0.41561,0.512331,,,,,,,,,,,,,-5.83599,6.33882,-1.36264,50,6.1362,2.38208,-107.03244,-4.61925,-6.70086,20.23305,-24.89583,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,79c42170-bdc0-11ec-890b-cb1ab834da13,73.57045,,,6.21101,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,04:50.9,2022-04-16T13:04:50.8504446-07:00,2022-04-16T20:04:50.8504446Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,e87a386a-bd04-49dc-aa89-6960f522f0ea,53.99114,-107.78427,10.11653,6.29066,-3.69416,-12.44791,-1.45578,2.63108,-3.35043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/16/22,05:23.4,"Chukerman, Michael",2,1,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.38996,1.970511,-1.396187,2066.638037,10.960267,6:15,6.23621,1.54335,6.04564,-49.28046,-2.26477,-0.75784,3.95511,0.18732,47.46132,2.24784,70.06916,-7.16298,-1.5326,0.493506,,,,,,,,,,,,,-0.06087,-1.25043,-1.4342,50,6.36391,2.76393,-112.24833,2.34622,-0.07651,23.10452,-33.74595,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,8d3c6a00-bdc0-11ec-890b-cb1ab834da13,76.3768,,,7.3208,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,05:23.4,2022-04-16T13:05:23.4114430-07:00,2022-04-16T20:05:23.4114430Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,4af3d4d6-b877-4732-aa99-4c037d5a9651,54.45295,-113.16119,11.55226,6.24487,3.67952,-16.87298,-1.54346,2.76695,-0.03825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/16/22,05:37.3,"Chukerman, Michael",2,2,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.84883,-1.528399,-2.187603,2243.160225,20.047398,6:45,6.17218,1.70769,6.14042,-47.57987,-2.16925,-1.26776,0.79333,-0.42065,9.51996,-5.0478,72.47874,-10.234578,-2.416722,0.485009,,,,,,,,,,,,,0.08575,-0.37661,-1.54019,50,6.0307,4.36623,-113.16542,-4.44708,0.11176,19.65512,-32.66493,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,956ea670-bdc0-11ec-890b-cb1ab834da13,77.71487,,,5.37009,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,05:37.3,2022-04-16T13:05:37.2779902-07:00,2022-04-16T20:05:37.2779902Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,fb5e0f3e-2e80-4e2d-90a9-eff000c105fa,54.36276,-113.92065,9.82756,6.17746,-3.19197,-16.33247,-1.70787,4.36194,0.05588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/16/22,05:52.2,"Chukerman, Michael",2,3,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.41762,-5.653361,-2.563324,2241.096082,216.263978,1:15,6.25524,1.4071,6.7267,-12.05631,23.57194,16.25839,0.06172,0.41769,0.74064,5.01228,79.44097,-8.055306,0.398096,0.429604,,,,,,,,,,,,,-9.45386,14.77973,-1.24336,50,5.87532,5.10078,-127.69169,-12.85438,-15.27451,31.54626,-8.29456,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,9e540640-bdc0-11ec-890b-cb1ab834da13,87.73758,,,8.97665,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,05:52.2,2022-04-16T13:05:52.2317694-07:00,2022-04-16T20:05:52.2317694Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,0604be87-6433-4004-a01d-95ea18c90b68,53.77171,-128.62012,15.77313,6.25005,-12.61027,-4.14728,-1.40009,5.55032,-7.63725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/16/22,06:08.3,"Chukerman, Michael",2,4,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.08147,-2.613128,-2.326113,2275.1414,204.526259,12:45,6.2484,1.43489,6.50797,-10.3243,25.89974,11.14001,2.9862,0.22725,35.8344,2.727,78.29514,-4.739309,-0.305909,0.433181,,,,,,,,,,,,,-6.57351,14.79843,-1.27627,50,6.06019,4.71815,-127.49115,-5.93055,-10.51242,33.13497,-8.50823,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,a7e8b8e0-bdc0-11ec-890b-cb1ab834da13,87.01309,,,9.78633,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,06:08.3,2022-04-16T13:06:08.2728318-07:00,2022-04-16T20:06:08.2728318Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,d18e32ef-e15a-40aa-bda0-7946c99abb0a,53.98532,-128.52276,16.56748,6.24071,-5.66566,-4.25411,-1.42825,5.04544,-5.25621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/16/22,06:24.9,"Chukerman, Michael",2,5,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.03812,-3.318669,-0.611839,2258.713993,206.163258,12:45,6.28816,1.34464,6.64735,-11.13575,24.45324,11.36827,2.31896,1.73195,27.82752,20.7834,79.40342,-5.555209,1.457495,0.429367,,,,,,,,,,,,,-6.12351,14.26887,-1.30716,50,6.05885,0.91782,-127.66279,-7.56497,-9.9487,30.09215,-8.9918,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,b1cc00b0-bdc0-11ec-890b-cb1ab834da13,87.78597,,,8.6347,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,06:24.9,2022-04-16T13:06:24.8973182-07:00,2022-04-16T20:06:24.8973182Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,2ac8158b-440e-4762-aab6-34cc13037151,53.8493,-128.56693,15.04608,6.28208,-7.2948,-4.4959,-1.33923,1.21674,-4.97435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/16/22,07:03.7,"Chukerman, Michael",3,1,"Gallagher, Ryan",1000114800,Right,SAN_GAU,"Smith, Austin",1000110126,Left,CSD_TRI,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.53816,-0.730346,-3.076883,1483.454224,229.120498,1:45,6.30864,1.64902,6.44929,-37.13372,12.49201,12.48174,2.54214,-0.14052,30.50568,-1.68624,68.03235,-7.708542,-0.814793,0.50702,,,,,,,,,,,,,-7.41776,7.26678,-1.4359,50,6.24037,5.39861,-108.15628,-2.32602,-8.72182,20.16033,-23.62976,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220416-CaesarUyesaka-1,c9003fd0-bdc0-11ec-890b-cb1ab834da13,74.34118,,,6.50581,,,,,,,1d4d1993-b51e-48b6-b05b-fdba07a0211d,4/16/22,07:03.7,2022-04-16T13:07:03.7109630-07:00,2022-04-16T20:07:03.7109630Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,99c33f74-8463-4081-bd97-2d8503e4fe52,54.04889,-108.90838,10.08016,6.3107,-1.44449,-11.81488,-1.64337,5.72399,-4.36091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
